,Unnamed: 0,typology,neighbourhood,cost_month,url,distance,duration
0,0,Bedroom, La Nova Esquerra de l'Eixample (Eixample),€600,https://www.uniplaces.com/accommodation/barcelona/43666?search-id=1666203772878_undefined,4.4 km,21 mins
1,1,Bedroom, Sants (Sants - Montjuïc),€450,https://www.uniplaces.com/accommodation/barcelona/417914?search-id=1666203772878_undefined,5.6 km,20 mins
2,2,Bedroom, El Raval (Ciutat Vella),€495,https://www.uniplaces.com/accommodation/barcelona/435208?search-id=1666203772878_undefined,3.6 km,22 mins
3,3,Entire Place, Vila de Gràcia (Gràcia),"€1,650",https://www.uniplaces.com/accommodation/barcelona/528533?search-id=1666203772878_undefined,7.3 km,29 mins
4,4,Bedroom, El Baix Guinardó (Horta - Guinardó),€470,https://www.uniplaces.com/accommodation/barcelona/528484?search-id=1666203772878_undefined,3.6 km,24 mins
5,5,Bedroom, El Parc i la Llacuna del Poblenou (Sant Martí),€500,https://www.uniplaces.com/accommodation/barcelona/527621?search-id=1666203772878_undefined,0.3 km,4 mins
6,6,Entire Place, El Carmel (Horta - Guinardó),€950,https://www.uniplaces.com/accommodation/barcelona/528577?search-id=1666203772878_undefined,7.7 km,35 mins
7,7,Bedroom, El Raval (Ciutat Vella),€439,https://www.uniplaces.com/accommodation/barcelona/404661?search-id=1666203772878_undefined,3.6 km,22 mins
8,8,Entire Place," Sant Pere, Santa Caterina i la Ribiera (Ciutat Vella)","€3,995",https://www.uniplaces.com/accommodation/barcelona/528437?search-id=1666203772878_undefined,2.4 km,15 mins
9,9,Entire Place, Barrio Gótico (Ciutat Vella),"€2,300",https://www.uniplaces.com/accommodation/barcelona/526940?search-id=1666203772878_undefined,3.5 km,15 mins
10,10,Entire Place, Barrio Gótico (Ciutat Vella),"€1,700",https://www.uniplaces.com/accommodation/barcelona/526936?search-id=1666203772878_undefined,3.5 km,15 mins
11,11,Entire Place, El Raval (Ciutat Vella),"€1,195",https://www.uniplaces.com/accommodation/barcelona/398123?search-id=1666203772878_undefined,3.6 km,22 mins
12,12,Bedroom, El Parc i la Llacuna del Poblenou (Sant Martí),€680,https://www.uniplaces.com/accommodation/barcelona/421659?search-id=1666203772878_undefined,0.3 km,4 mins
13,13,Bedroom, El Camp de l'Arpa del Clot (Sant Martí),€450,https://www.uniplaces.com/accommodation/barcelona/57428?search-id=1666203772878_undefined,2.9 km,17 mins
14,14,Entire Place, Barrio Gótico (Ciutat Vella),"€1,500",https://www.uniplaces.com/accommodation/barcelona/156949?search-id=1666203772878_undefined,3.5 km,15 mins
15,15,Entire Place, El Congrés i els Indians (Sant Andreu),"€1,690",https://www.uniplaces.com/accommodation/barcelona/523465?search-id=1666203772878_undefined,4.3 km,21 mins
16,16,Entire Place, El Raval (Ciutat Vella),"€1,050",https://www.uniplaces.com/accommodation/barcelona/150493?search-id=1666203772878_undefined,3.6 km,22 mins
17,17,Entire Place, L'Antiga Esquerra de l'Eixample (Eixample),"€2,400",https://www.uniplaces.com/accommodation/barcelona/528345?search-id=1666203772878_undefined,4.3 km,25 mins
18,18,Entire Place, La Marina del Port (Sants - Montjuïc),"€1,595",https://www.uniplaces.com/accommodation/barcelona/440547?search-id=1666203772878_undefined,7.0 km,35 mins
19,19,Entire Place, Barrio Gótico (Ciutat Vella),"€1,695",https://www.uniplaces.com/accommodation/barcelona/215456?search-id=1666203772878_undefined,3.5 km,15 mins
20,20,Entire Place, La Bordeta (Sants - Montjuïc),"€1,795",https://www.uniplaces.com/accommodation/barcelona/159311?search-id=1666203772878_undefined,6.6 km,28 mins
21,21,Entire Place, Barrio Gótico (Ciutat Vella),"€2,300",https://www.uniplaces.com/accommodation/barcelona/526932?search-id=1666203772878_undefined,3.5 km,15 mins
22,22,Entire Place, El Raval (Ciutat Vella),"€1,295",https://www.uniplaces.com/accommodation/barcelona/415980?search-id=1666203772878_undefined,3.6 km,22 mins
23,23,Entire Place, Dreta de l'Eixample (Eixample),"€3,100",https://www.uniplaces.com/accommodation/barcelona/460421?search-id=1666203772878_undefined,5.4 km,20 mins
24,24,Entire Place, El Congrés i els Indians (Sant Andreu),"€1,690",https://www.uniplaces.com/accommodation/barcelona/435223?search-id=1666203772878_undefined,4.3 km,21 mins
25,25,Entire Place, El Poblenou (Sant Martí),"€2,100",https://www.uniplaces.com/accommodation/barcelona/524108?search-id=1666203772878_undefined,1.8 km,10 mins
26,26,Entire Place, Hostafrancs (Sants - Montjuïc),€745,https://www.uniplaces.com/accommodation/barcelona/466802?search-id=1666203772878_undefined,4.9 km,16 mins
27,27,Entire Place, Sant Antoni (Eixample),"€1,795",https://www.uniplaces.com/accommodation/barcelona/238397?search-id=1666203772878_undefined,4.3 km,20 mins
28,28,Entire Place, El Raval (Ciutat Vella),"€1,350",https://www.uniplaces.com/accommodation/barcelona/528212?search-id=1666203772878_undefined,3.6 km,22 mins
29,29,Entire Place, Sants (Sants - Montjuïc),"€1,395",https://www.uniplaces.com/accommodation/barcelona/243281?search-id=1666203772878_undefined,5.6 km,20 mins
30,30,Entire Place, El Poblenou (Sant Martí),"€1,390",https://www.uniplaces.com/accommodation/barcelona/427734?search-id=1666203772878_undefined,1.8 km,10 mins
31,31,Entire Place, Sant Gervasi - Galvany (Sarrià - Sant Gervasi),"€8,000",https://www.uniplaces.com/accommodation/barcelona/257038?search-id=1666203772878_undefined,5.9 km,23 mins
32,32,Entire Place, Sant Gervasi - Galvany (Sarrià - Sant Gervasi),"€10,000",https://www.uniplaces.com/accommodation/barcelona/256879?search-id=1666203772878_undefined,5.9 km,23 mins
33,33,Entire Place, Sant Gervasi - Galvany (Sarrià - Sant Gervasi),"€8,000",https://www.uniplaces.com/accommodation/barcelona/256583?search-id=1666203772878_undefined,5.9 km,23 mins
34,34,Entire Place, La Barceloneta (Ciutat Vella),"€2,000",https://www.uniplaces.com/accommodation/barcelona/520217?search-id=1666203772878_undefined,2.9 km,17 mins
35,35,Bedroom, La Maternitat i Sant Ramon (Les Corts),€480,https://www.uniplaces.com/accommodation/barcelona/19790?search-id=1666203772878_undefined,9.2 km,38 mins
36,36,Entire Place, El Fort Pienc (Eixample),"€1,690",https://www.uniplaces.com/accommodation/barcelona/434645?search-id=1666203772878_undefined,1.6 km,11 mins
37,37,Bedroom, El Fort Pienc (Eixample),€610,https://www.uniplaces.com/accommodation/barcelona/451996?search-id=1666203772878_undefined,1.6 km,11 mins
38,38,Entire Place, L'Antiga Esquerra de l'Eixample (Eixample),"€1,650",https://www.uniplaces.com/accommodation/barcelona/229044?search-id=1666203772878_undefined,4.2 km,22 mins
39,39,Entire Place, Sants (Sants - Montjuïc),"€1,395",https://www.uniplaces.com/accommodation/barcelona/133585?search-id=1666203772878_undefined,5.6 km,20 mins
40,40,Entire Place," Sant Pere, Santa Caterina i la Ribiera (Ciutat Vella)","€1,650",https://www.uniplaces.com/accommodation/barcelona/405581?search-id=1666203772878_undefined,2.7 km,14 mins
41,41,Bedroom, La Salut (Gràcia),€644,https://www.uniplaces.com/accommodation/barcelona/399707?search-id=1666203772878_undefined,7.8 km,34 mins
42,42,Entire Place, Dreta de l'Eixample (Eixample),"€3,350",https://www.uniplaces.com/accommodation/barcelona/523474?search-id=1666203772878_undefined,5.4 km,20 mins
43,43,Entire Place, Dreta de l'Eixample (Eixample),"€5,500",https://www.uniplaces.com/accommodation/barcelona/522790?search-id=1666203772878_undefined,5.4 km,20 mins
44,44,Entire Place, Dreta de l'Eixample (Eixample),"€4,100",https://www.uniplaces.com/accommodation/barcelona/523463?search-id=1666203772878_undefined,5.4 km,20 mins
